Period,Open,High,Low,Close
2024-12-11,13294.780000,13365.820000,13294.780000,13347.505878
2024-12-10,13288.960000,13305.690000,13228.190000,13239.205487
2024-12-09,13344.450000,13356.370000,13269.320000,13278.293721
2024-12-06,13339.000000,13379.760000,13336.220000,13358.495262
2024-12-05,13354.280000,13366.270000,13319.850000,13323.741533
2024-12-04,13310.390000,13355.230000,13292.340000,13347.877566
2024-12-03,13252.170000,13272.140000,13231.660000,13267.329387
2024-12-02,13245.660000,13275.010000,13235.160000,13261.075066
2024-11-29,13164.870000,13252.590000,13164.870000,13227.132962
2024-11-27,13185.770000,13198.010000,13122.590000,13152.078064
2024-11-26,13154.120000,13209.500000,13137.110000,13201.469122
2024-11-25,13136.240000,13198.130000,13074.290000,13125.463503
2024-11-22,13031.100000,13093.590000,13031.100000,13085.856063
2024-11-21,13022.260000,13071.830000,12906.240000,13040.082740
2024-11-20,12962.770000,12976.240000,12844.900000,12968.848423
2024-11-19,12865.320000,12982.340000,12833.510000,12968.156874
2024-11-18,12874.170000,12948.460000,12856.860000,12916.799709
2024-11-15,12956.810000,12962.360000,12825.840000,12864.417322
2024-11-14,13123.530000,13132.630000,13020.230000,13034.787779
2024-11-13,13113.390000,13162.540000,13070.370000,13112.574104
2024-11-12,13151.920000,13165.520000,13056.830000,13108.951601
2024-11-11,13162.660000,13180.610000,13114.250000,13146.197008
2024-11-08,13092.350000,13170.450000,13092.350000,13133.470737
2024-11-07,13024.820000,13105.050000,13024.820000,13081.530991
2024-11-06,12844.230000,13000.150000,12844.230000,12984.731352
2024-11-05,12532.210000,12665.830000,12532.210000,12664.324012
2024-11-04,12538.030000,12573.510000,12475.430000,12510.734539
2024-11-01,12533.190000,12641.130000,12533.190000,12545.401914
2024-10-31,12646.780000,12646.780000,12493.280000,12493.736375
2024-10-30,12771.290000,12811.260000,12725.120000,12729.727219
2024-10-29,12742.820000,12803.060000,12704.480000,12771.802757
2024-10-28,12774.030000,12793.460000,12750.350000,12751.221977
2024-10-25,12758.140000,12837.050000,12699.520000,12717.340344
2024-10-24,12738.420000,12738.420000,12666.730000,12721.046413
2024-10-23,12774.990000,12775.760000,12617.220000,12693.815643
2024-10-22,12770.860000,12837.130000,12746.700000,12811.358897
2024-10-21,12825.790000,12845.270000,12753.500000,12817.388333
2024-10-18,12828.820000,12856.720000,12800.240000,12840.300153
2024-10-17,12863.540000,12866.230000,12786.130000,12788.782691
2024-10-16,12734.150000,12799.380000,12716.110000,12790.842543
2024-10-15,12843.790000,12845.320000,12708.480000,12731.098044
2024-10-14,12761.880000,12851.910000,12761.840000,12827.630434
2024-10-11,12642.090000,12745.030000,12642.090000,12729.523389
2024-10-10,12649.140000,12685.280000,12619.510000,12652.837292
2024-10-09,12589.080000,12687.500000,12574.480000,12677.157938
2024-10-08,12517.240000,12601.050000,12507.210000,12587.254757
2024-10-07,12558.030000,12561.060000,12447.450000,12466.410052
2024-10-04,12557.170000,12590.830000,12481.350000,12586.910618
2024-10-03,12468.560000,12513.600000,12423.440000,12472.386663
2024-10-02,12468.410000,12514.940000,12415.980000,12493.353842
2024-10-01,12598.030000,12598.030000,12430.760000,12490.871734
2024-09-30,12529.390000,12613.730000,12480.030000,12608.073742
2024-09-27,12591.380000,12608.960000,12531.200000,12553.777061
2024-09-26,12605.990000,12612.860000,12517.320000,12569.128202
